title,runtime,imdb_score,imdb_votes,user_review_count,critic_review_count,critic_overall_score,critic_positive_score,critic_mixed_score,critic_negative_score,user_overall_score,user_positive_score,user_mixed_score,user_negative_score,#_of_nominations,#_of_wins
L.A. Confidential,138,8.3,569237,789,147,90,27,1,0,8.7,537,22,15,9,2
La Dolce Vita,174,8,71759,212,164,95,13,0,0,8.3,64,8,3,4,1
La Vie en Rose,140,7.6,86234,271,212,66,19,10,0,7.9,94,18,7,3,2
LaLee's Kin: The Legacy of Cotton,89,7.7,229,7,3,78,4,1,0,8.6,25,0,4,1,0
Lady on a Train,94,6.8,2152,44,16,48,3,4,0,0,0,0,0,1,0
Lars and the Real Girl,106,7.3,143782,372,225,70,24,6,2,8.1,213,17,17,1,0
Lassie Come Home,89,7.2,5400,41,15,78,7,1,0,0,0,0,0,1,0
Last Tango in Paris,129,6.9,53152,216,115,77,4,2,0,6.7,25,12,7,2,0
Lawrence of Arabia,218,8.3,286938,736,159,100,8,0,0,8.7,328,28,20,10,7
Leaving Las Vegas,111,7.5,121962,375,107,82,21,2,0,8.7,216,13,9,4,1
Legend,94,6.4,64486,349,145,30,1,5,5,5.8,10,14,2,1,0
Legends of the Fall,133,7.5,161464,449,71,45,7,6,10,7,57,21,9,3,1
Let It Be,81,7.7,6193,85,16,69,5,2,0,0,3,0,0,1,1
Let's Get Lost,120,7.8,2014,21,45,85,15,0,0,0,1,0,0,1,0
Lethal Weapon,109,7.6,253165,370,131,68,16,5,2,8.2,170,26,6,1,0
Lethal Weapon 2,114,7.3,172684,217,86,70,18,3,0,8.2,128,19,7,1,0
Letters from Iwo Jima,141,7.9,160885,367,241,89,34,3,0,8.2,299,29,24,4,1
Life Is Beautiful,116,8.6,673594,1400,153,59,21,6,5,7.8,283,32,42,7,3
Life with Father,118,7.1,5426,61,22,73,4,1,0,0,0,1,0,4,0
Lifeboat,97,7.6,28687,176,68,78,10,3,0,8,9,3,0,4,0
Lilies of the Field,94,7.6,11506,112,28,61,5,3,0,6.8,2,2,0,5,1
Lilo & Stitch,85,7.3,183977,423,164,73,26,3,1,8.4,185,27,4,1,0
Little Big Man,139,7.6,34928,137,63,63,4,2,1,7.7,22,2,1,1,0
Little Children,137,7.5,110596,345,249,75,28,6,0,7.4,146,20,28,3,0
Little Fugitive,75,7.5,2775,35,45,91,4,0,0,8.8,4,0,0,1,0
Little Miss Sunshine,101,7.8,467891,1000,244,80,34,2,0,7.5,535,51,100,4,2
Little Shop of Horrors,94,7.1,73861,227,94,81,14,1,0,7.5,57,9,3,2,0
Little Voice,97,7,16472,170,43,68,19,5,1,8.5,15,2,0,1,0
Little Women,117.3333333,7.233333333,23955,113,31.66666667,80,11,0.666666667,0,4.333333333,22,5.333333333,2.666666667,42,9
Live and Let Die,121,6.7,105327,344,115,55,4,5,0,6.3,27,27,3,1,0
Logan's Run,119,6.8,55706,311,155,53,4,4,1,6.8,11,5,1,3,1
Lolita,153,7.6,99403,273,109,79,12,2,0,8.3,21,1,0,1,0
Lone Star,135,7.4,29557,201,63,78,18,3,1,7.7,24,5,3,1,0
Looking for Mr. Goodbar,136,6.7,7609,113,34,64,5,4,0,0,2,1,0,2,0
Lorenzo's Oil,129,7.3,22161,86,32,80,19,2,0,8.2,13,0,0,2,0
Lost in Translation,102,7.7,443262,2000,287,89,42,2,0,7.5,605,66,105,4,1
Love Affair,88,7.3,5365,67,44,91,8,0,0,0,1,2,0,6,0
Love Story,100,6.9,33630,207,62,84,4,1,0,7.6,24,8,1,7,1
Lover Come Back,107,7.2,7844,60,29,58,5,2,0,0,0,1,0,1,0
Malcolm X,202,7.7,92960,205,85,73,10,5,0,7.8,71,5,7,3,0
Man of a Thousand Faces,122,7.1,2665,52,37,58,4,2,0,0,0,1,0,1,0
Man on Wire,94,7.7,55383,175,198,89,31,0,0,8.2,122,13,7,1,1
Manhattan,96,7.9,138573,278,123,83,9,1,0,8.3,124,8,5,2,0
Mannequin,90,5.9,31572,134,40,21,0,2,11,7.3,7,4,1,2,0
Marathon Man,125,7.4,62522,207,90,64,5,1,1,7.4,7,5,0,1,0
March of the Penguins,80,7.6,57705,353,163,79,35,4,0,7.8,84,13,7,1,1
Margin Call,107,7.1,126711,341,300,76,32,5,1,7.2,129,28,14,1,0
Maria Full of Grace,101,7.5,34966,180,154,87,38,1,0,2.6,60,5,151,1,0
Marie Antoinette,123,6.5,109205,708,254,65,22,10,5,5.8,205,44,122,5,1
Marooned,134,5.8,5149,94,30,62,5,2,0,0,0,1,1,3,1
Married to the Mob,104,6.2,17605,64,38,71,11,4,0,8.6,36,4,2,1,0
Marvin's Room,98,6.7,27793,84,45,68,13,6,1,8.2,32,6,1,1,0
Mary Poppins,139,7.8,168622,354,111,88,13,0,0,8,67,6,5,13,5
Mary Shelley's Frankenstein,123,6.3,54701,294,98,49,6,10,1,6.8,2,2,0,1,0
"Mary, Queen of Scots",128,7.1,4347,45,17,53,2,4,0,0,0,0,0,5,0
Mask,120,7.2,28608,110,29,73,8,3,0,8.4,7,1,0,1,1
Match Point,124,7.6,215514,820,277,72,32,8,0,8.4,478,40,53,1,0
Matewan,135,7.9,8015,65,39,73,12,3,0,0,1,0,0,1,0
Maurice,140,7.7,19054,89,48,75,12,2,0,8.5,22,2,1,1,0
Maverick,127,7,109854,144,53,62,17,11,0,7.1,14,3,1,1,0
McCabe & Mrs. Miller,120,7.6,24600,155,108,93,15,2,0,7.6,4,1,0,1,0
Meet Me in St. Louis,113,7.5,23960,192,106,94,17,1,0,7.1,4,2,1,4,0
Meet the Parents,108,7,328574,543,130,73,30,3,0,8.6,427,36,21,1,0
Memento,113,8.5,1202640,2400,228,80,30,3,1,8.9,1339,47,41,2,0
Memoirs of a Geisha,145,7.3,146434,634,212,54,16,19,3,6.8,127,43,33,6,3
Men in Black,98,7.3,552034,383,164,71,15,7,0,8.7,576,57,7,4,1
Meteor,108,5,7223,110,58,27,0,2,6,0,0,0,0,1,0
Metropolitan,98,7.3,11198,68,73,77,4,1,0,0,3,0,0,1,0
Michael Clayton,119,7.2,163350,426,308,82,36,0,0,7.6,306,56,34,7,1
Michael Collins,133,7.1,31308,112,44,60,11,7,2,7.3,22,4,1,2,0
Midnight Cowboy,113,7.8,109206,424,130,79,14,2,0,8.2,40,5,1,7,3
Midnight Express,121,7.5,78577,301,74,59,5,5,1,7.7,17,7,0,6,2
Midnight Lace,103,6.8,5298,102,39,60,3,3,0,0,0,0,0,1,0
Mighty Aphrodite,95,7,40098,98,55,59,9,7,0,8.4,44,4,0,2,1
Mighty Joe Young,104,6.35,17087.5,95,43.5,56,5,6,1,4.4,6.5,1.5,0,4,2
Mildred Pierce,111,8,25418,401,96,88,16,0,0,7.7,8,2,0,6,1
Milk,128,7.6,171205,324,248,83,37,2,0,7.6,272,38,43,8,2
Million Dollar Baby,132,8.1,673111,1300,260,86,35,2,2,7.5,480,33,88,7,4
Million Dollar Mermaid,115,6.6,1578,21,20,50,0,5,0,0,0,0,0,1,0
Minority Report,145,7.7,538419,1400,260,80,34,3,0,7.1,361,44,60,1,0
Miracle on 34th Street,96,7.9,47273,208,97,88,10,0,0,7.8,13,3,0,4,3
Mirror Mirror,106,5.6,87262,239,385,46,8,20,6,5.2,50,68,36,1,0
Misery,107,7.8,202270,463,174,75,20,3,0,8.3,77,7,1,1,1
Missing,122,7.7,21244,106,69,78,8,2,0,7.6,7,2,0,4,1
Mister Roberts,123,7.7,16631,105,34,72,10,2,0,0,1,0,0,3,1
Mona Lisa,104,7.3,16489,73,70,85,18,2,0,0,1,2,0,1,0
Moneyball,133,7.6,408673,500,429,87,40,2,0,7.9,607,75,23,6,0
Monsieur Lazhar,95,7.5,20264,64,176,82,29,2,0,7.7,33,5,2,1,0
Monster,109,7.3,148840,604,189,74,35,5,0,7.3,103,19,16,1,1
Monster House,91,6.6,114141,302,175,68,27,4,1,8.2,262,39,21,1,0
Monster's Ball,111,7.1,88424,545,138,69,25,6,1,4,41,17,53,2,1
"Monsters, Inc.",92,8.1,878999,762,242,79,31,4,0,8.6,660,24,12,4,1
Moonraker,126,6.3,98853,392,122,66,9,4,0,5.9,22,27,7,1,0
Moonrise Kingdom,94,7.8,342715,501,505,84,42,0,1,8.1,720,75,44,1,0
Moonstruck,102,7.1,58039,194,85,83,16,2,0,8.4,88,9,7,6,3
Mother India,172,7.8,9182,26,27,53,1,2,1,6.7,5,0,2,1,0
Mr. & Mrs. Bridge,126,6.6,3068,31,15,73,12,4,0,8,4,1,0,1,0
Mr. Holland's Opus,143,7.3,38654,186,38,59,12,7,2,7.6,6,0,1,1,0
Mr. Smith Goes to Washington,129,8.1,113975,332,99,73,7,2,0,8.3,29,4,0,11,1
Mrs. Brown,101,7.2,14338,75,39,71,17,5,0,7.4,9,2,0,2,0
Mrs. Doubtfire,125,7.1,263279,322,59,53,8,5,3,8.1,182,27,9,1,1
Mrs. Henderson Presents,103,7,15656,187,135,71,30,6,0,7.2,28,5,6,2,0
Mulan,88,7.6,278325,383,129,71,18,6,0,8.4,303,23,11,1,0
Munich,164,7.5,224042,896,229,74,30,9,0,8,401,64,39,5,0
Murder on the Orient Express,128,7.3,61280,251,74,63,4,1,1,7.1,22,6,2,6,1
Murderball,88,7.7,10175,69,95,87,32,1,0,8.4,38,3,2,1,0
Music of the Heart,124,6.8,12611,132,57,54,13,18,2,8.6,39,0,3,2,0
Mutiny on the Bounty,155,7.45,19395,120,54.5,67.5,6.5,3,0,7.85,3.5,1,0,30,2
My Architect,116,7.4,3199,37,58,81,27,2,0,8.2,12,1,1,1,0
My Beautiful Laundrette,97,6.8,15761,79,39,75,18,2,0,6.8,6,1,1,1,0
My Best Friend's Wedding,105,6.3,139796,231,64,50,11,9,3,8.1,82,17,7,1,0
My Big Fat Greek Wedding,95,6.6,128899,789,141,62,17,11,1,7.4,70,22,6,1,0
My Brilliant Career,100,7.1,4304,53,25,77,9,4,0,0,1,0,0,1,0
My Fair Lady,170,7.8,93894,377,107,95,13,2,0,7.7,27,5,2,12,8
My Favorite Year,92,7.3,9599,92,31,62,11,2,1,0,0,0,1,1,0
My Left Foot,103,7.9,73096,116,55,97,17,0,0,8.4,76,6,1,5,2
My Life as a Dog,101,7.6,20940,71,49,82,14,1,0,7.8,4,0,0,2,0
My Man Godfrey,94,8,23449,471,92,82,15,0,0,0,1,0,0,6,0
My Week with Marilyn,99,7,86421,245,388,65,29,7,2,7.8,148,39,8,2,0
Mystic River,138,7.9,447603,1.1,217,84,37,4,1,7.1,339,39,66,6,2
Nashville,160,7.7,25928,189,109,96,24,0,0,8.6,13,0,0,5,1
Nell,112,6.5,29059,101,33,60,13,9,1,0,1,0,0,1,0
Network,121,8.1,156405,426,182,83,13,2,1,8.4,60,6,2,10,4
Nine,118,5.8,43693,259,204,49,10,17,6,4.5,88,52,106,4,0
Nixon,192,7.1,30630,177,80,66,17,2,3,7,30,8,5,4,0
No,118,7.4,24802,52,236,81,33,2,1,7.4,51,11,6,1,0
No Country for Old Men,122,8.2,936666,2000,518,92,36,2,0,7.9,1489,192,200,8,4
No End in Sight,102,8.2,8380,56,75,89,28,0,0,8.2,50,2,6,1,0
No Man's Land,98,7.9,46734,187,103,84,28,1,0,8,36,4,4,1,1
Nobody's Fool,110,7.3,20097,115,47,86,28,0,0,8.3,8,0,0,2,0
Norbit,102,4.1,73518,353,124,27,1,8,17,4.5,52,34,73,1,0
Norma Rae,114,7.3,11440,58,36,61,6,3,1,7.4,10,2,0,4,2
North Country,126,7.3,42253,233,143,68,31,8,0,7.4,69,12,9,2,0
North by Northwest,136,8.3,320442,692,183,98,16,0,0,8.2,157,14,4,3,0
Notes on a Scandal,92,7.4,77913,309,219,73,26,8,1,7.9,101,16,5,4,0
Notorious,102,7.9,99588,372,153,100,16,0,0,7.9,68,8,3,2,0
"Now, Voyager",117,7.9,16731,176,67,70,10,2,0,0,0,0,0,3,1
"O Brother, Where Art Thou?",107,7.7,305212,991,107,69,23,4,3,7.8,194,36,14,2,0
Obsession,98,6.7,10098,81,90,59,5,5,0,5.2,2,2,1,1,0
Of Mice and Men,106,7.9,5983,70,17,89,7,0,0,0,1,0,0,5,0
"Oh, God!",98,6.6,9577,79,27,56,3,6,0,8.3,4,0,0,1,0
Oklahoma!,145,7,12633,117,47,74,13,2,0,0,0,0,0,4,2
Oliver!,153,7.4,37834,197,52,74,7,4,0,6.7,5,1,1,11,5
On Golden Pond,109,7.6,30959,143,44,68,9,4,1,7.4,7,1,0,10,3
On the Beach,134,7.1,12895,187,49,55,5,5,0,0,1,0,0,2,0
On the Ropes,94,7.3,459,9,16,80,11,2,0,7.8,5,0,0,1,0
On the Town,98,7.4,17329,123,57,71,7,1,0,7.5,4,0,0,1,1
On the Waterfront,108,8.1,152134,376,165,91,15,0,0,8.7,175,15,7,12,8
Once,86,7.8,115468,383,237,88,33,0,0,8.2,305,30,40,1,1
One Day in September,94,7.8,5977,63,53,82,19,1,0,5.8,10,1,6,1,1
One True Thing,127,7,12040,120,50,63,18,6,1,7.7,11,3,1,1,0
One from the Heart,107,6.5,6189,90,60,57,2,4,0,5.3,7,2,6,1,0
"One, Two, Three",104,7.9,20957,147,84,73,5,3,0,0,3,0,0,1,0
Only Angels Have Wings,121,7.7,13858,88,102,86,9,1,0,7.3,11,2,1,2,0
Orlando,94,7.1,16271,92,43,74,9,4,0,7.9,7,0,0,2,0
Out of Sight,123,7,91319,352,153,85,26,3,1,8.4,131,18,6,2,0
Outland,109,6.6,29474,167,95,48,3,6,1,6.8,4,5,0,1,0
Paint Your Wagon,164,6.6,13531,135,23,50,1,6,0,0,0,2,1,1,0
Pan's Labyrinth,118,8.2,653975,1300,461,98,37,0,0,8.7,2435,192,150,6,3
Paper Moon,102,8.1,46595,173,62,77,6,2,0,8.6,21,1,0,4,1
Papillon,151,8,128720,231,73,58,3,7,0,8.2,25,2,0,1,0
Paradise Lost 3: Purgatory,121,8,10065,30,29,85,4,0,0,7.2,22,0,5,1,0
Paradise Now,91,7.4,23107,164,95,71,27,5,0,7.8,40,5,4,1,0
Parenthood,124,7.1,48871,152,50,82,16,1,0,8.3,51,9,1,2,0
Paris 36,120,6.5,2809,20,70,40,5,9,5,4,0,3,1,1,0
Paris Blues,98,6.7,3286,53,25,61,4,3,0,0,0,2,0,1,0
Pat and Mike,95,6.9,5636,64,21,79,7,2,0,0,0,1,0,1,0
Patch Adams,115,6.8,112034,444,53,25,1,10,10,6.6,70,20,27,1,0
Patton,172,8,100765,322,119,91,9,0,0,8.3,111,9,2,10,7
Pearl Harbor,183,6.2,327007,2000,163,44,9,20,6,5.6,110,77,73,4,1
Peggy Sue Got Married,103,6.4,36945,138,53,74,11,2,1,7.9,10,2,0,3,0
Pennies from Heaven,108,6.5,5629,71,46,64,8,5,0,0,1,1,0,4,0
Period of Adjustment,112,6.2,1417,36,12,71,6,0,0,0,0,0,0,1,0
Pete's Dragon,128,6.3,24390,104,51,46,1,3,1,6.1,3,5,1,2,0
Phantom of the Opera,92,6.4,7213,104,53,63,2,5,0,0,0,0,0,4,2
Phantom of the Paradise,91,7.3,18971,179,120,67,7,2,0,8.2,9,3,0,1,0
Philadelphia,125,7.7,237492,319,68,66,15,5,1,7.7,121,18,3,5,2
Pieces of April,80,7,21000,188,113,70,28,7,1,8.7,54,7,4,1,0
Pillow Talk,102,7.4,17151,108,51,73,8,2,0,0,0,0,0,5,1
Pina,103,7.6,15152,55,208,83,28,4,0,7.2,28,1,6,1,0
Pinocchio,88,7.5,141360,233,137,99,17,0,0,8.1,143,25,6,2,2
Pirates,121,6,8579,56,21,32,0,5,7,0,0,1,0,1,0
Pirates of the Caribbean: At World's End,169,7.1,630331,1300,327,50,12,19,5,6.4,612,220,220,2,0
Pirates of the Caribbean: Dead Man's Chest,151,7.4,693476,1900,318,53,15,18,4,7.2,691,177,119,4,1
Pirates of the Caribbean: The Curse of the Black Pearl,143,8.1,1072529,2300,180,63,25,12,3,8.8,1068,42,25,5,0
Places in the Heart,111,7.4,11915,69,33,70,9,3,0,8.1,6,1,0,7,2
Planet of the Apes,112,8,176704,491,168,79,11,2,1,8.1,84,3,7,2,0
Platoon,120,8.1,405127,659,134,92,16,0,0,8,112,14,6,8,4
Pleasantville,124,7.5,127627,754,137,71,24,8,0,8.6,232,19,9,3,0
Pocahontas,81,6.7,182553,284,93,58,14,6,3,7.2,94,47,7,2,2
Poetic Justice,109,6.1,14612,43,17,51,8,11,1,7.4,12,6,1,1,0
Pollock,122,7,28084,158,110,77,28,3,0,8.7,56,6,1,2,1
Poltergeist,114,7.3,157687,470,257,79,13,3,0,8.3,159,9,6,3,0
Poltergeist II: The Other Side,91,5.6,26926,155,88,49,3,5,2,7.2,7,4,0,1,0
Porgy and Bess,138,7.1,1724,67,10,77,3,1,0,0,0,0,0,4,1
Poseidon,98,5.7,103370,714,224,50,12,17,7,5.9,63,51,37,1,0
Postcards from the Edge,101,6.7,17326,69,49,71,14,4,0,7.4,13,4,0,2,0
Predator,107,7.8,398346,896,261,45,7,4,4,8.6,599,45,12,1,0
Pretty Baby,110,6.5,10749,89,33,66,7,3,0,5,2,0,2,1,0
Pretty Woman,119,7.1,314697,398,91,51,9,3,6,8.6,257,29,15,1,0
Pride & Prejudice,129,7.8,286005,1200,108,82,35,2,0,8.6,522,33,38,4,0
Pride and Prejudice,118,7.4,8256,147,29,84,7,2,0,0,2,0,0,1,1
Primal Fear,129,7.7,207436,368,82,47,6,9,3,8.7,165,10,4,1,0
Primary Colors,143,6.7,28872,166,104,70,24,4,2,8.3,25,4,0,2,0
Prince of the City,167,7.4,8225,69,44,81,12,3,0,0,1,2,0,1,0
Private Benjamin,109,6.2,25958,76,35,59,4,5,0,6.6,7,2,1,3,0
Prizzi's Honor,130,6.7,24378,98,48,84,13,3,0,6.3,5,2,1,8,1
Prometheus,124,7,596789,2600,552,64,24,18,1,6.5,1315,511,388,1,0
Promises,106,8.4,2628,35,28,80,15,1,0,8.2,8,0,1,1,0
Psycho,109,8.5,650479,1400,252,97,16,1,0,8.9,458,5,13,4,0
Pulp Fiction,154,8.9,1974253,3400,293,94,23,1,0,9,3001,82,131,7,1
Purple Rain,111,6.5,21213,135,81,55,7,5,2,7,22,7,4,1,1
Puss in Boots,90,6.6,155406,182,250,65,16,7,1,7.5,296,74,22,1,0
Quest for Fire,100,7.3,22066,113,67,79,6,5,0,6,3,1,1,1,1
Quills,124,7.3,53853,319,100,70,24,4,3,7.3,27,8,0,3,0
Quiz Show,133,7.5,68636,183,66,92,27,0,0,8.5,107,4,4,4,0
Rabbit Hole,91,7,49132,161,246,76,32,6,1,7.6,74,14,3,1,0
Rachel Getting Married,113,6.7,48995,311,229,82,32,3,1,5.7,129,27,79,1,0
Raging Bull,129,8.2,344744,654,151,89,25,1,1,7.1,420,32,116,8,2
Ragtime,155,7.3,9603,65,47,57,4,2,2,5.9,6,2,4,8,0
Rain Man,133,8,501473,500,96,65,12,4,2,8.5,265,26,6,8,4
Rambo: First Blood Part II,96,6.5,165434,292,135,47,3,9,3,7.5,52,19,2,1,0
Ran,162,8.2,122805,322,167,96,20,1,0,8.4,152,18,8,4,1
Random Harvest,126,8,7534,115,26,62,6,4,1,0,0,1,0,7,0
Rashomon,88,8.2,164825,383,134,98,18,0,0,8.6,52,6,0,1,0
Ratatouille,111,8.1,697479,834,319,96,37,0,0,8.6,1751,118,69,5,1
Ray,152,7.7,145759,480,132,73,29,11,0,8.8,188,15,6,6,2
Real Steel,127,7.1,320137,535,334,56,13,20,1,7.1,277,102,33,1,0
Rebecca,130,8.1,134569,382,206,86,16,0,0,8.3,32,3,0,11,2
Reds,195,7.3,22626,151,59,76,11,4,0,8.3,14,1,1,12,3
Remo Williams: The Adventure Begins,121,6.4,12165,110,57,46,2,7,3,0,1,0,0,1,0
Requiem for a Dream,102,8.3,817575,2.2,258,68,22,6,4,8.8,784,31,37,1,0
Restoration,117,6.6,9422,51,20,66,12,4,0,0,2,0,0,2,2
Restrepo,93,7.5,23605,82,114,85,32,1,0,7.5,63,22,4,1,0
Return to Oz,113,6.8,26880,244,74,42,1,6,4,7.8,36,4,3,1,0
Revanche,121,7.5,14617,54,123,84,21,1,0,8.1,32,3,1,1,0
Reversal of Fortune,111,7.2,16543,77,39,93,17,1,0,8.1,32,1,1,3,1
Revolutionary Road,119,7.3,209815,547,201,69,28,9,1,7.4,196,35,29,3,0
Rhapsody in Blue,135,7,1450,49,14,55,3,2,0,0,0,0,0,2,0
Richard III,161,7.4,4570,53,32,88,10,1,0,0,0,1,0,3,0
Ridicule,102,7.3,7567,51,31,80,19,1,0,0,0,0,1,1,0
Rio,96,6.9,222110,240,235,63,20,9,0,7.6,318,70,27,1,0
Rise of the Planet of the Apes,105,7.6,518183,745,546,68,27,12,0,7.8,862,119,26,1,0
Road to Morocco,82,7,5358,50,34,75,9,0,0,0,0,0,0,2,0
Road to Perdition,117,7.7,262703,1.1,207,72,29,7,0,8,339,33,33,6,1
Road to Utopia,90,7.1,3448,36,21,72,6,1,0,0,0,0,0,1,0
Rob Roy,139,6.9,42606,152,46,55,6,11,2,8.4,43,8,2,1,0
Roberta,106,7,3275,71,22,66,7,3,0,0,0,0,0,1,0
Robin Hood,83,7.5,124361,187,75,57,5,3,1,7.5,32,12,1,1,0
Robin Hood: Prince of Thieves,143,6.9,190330,393,88,51,10,12,3,7.1,29,10,3,1,0
RoboCop,102,7.6,251472,592,229,67,13,3,0,8.7,392,28,7,3,1
Rocky,120,8.1,557417,782,190,70,10,4,0,8.5,180,13,7,10,3
Rocky III,99,6.8,186483,264,84,57,5,4,1,7.1,54,17,7,1,0
Roman Holiday,118,8,136181,327,133,78,7,1,0,8.4,88,8,4,10,3
Romancing the Stone,106,6.9,91662,183,86,63,9,8,0,8,30,11,1,1,0
Romeo and Juliet,138,7.6,31402,229,38,69,6,6,0,0,2,1,0,8,2
Room at the Top,115,7.6,6139,61,42,84,6,0,0,0,3,0,0,6,2
Rosemary's Baby,137,8,209850,628,267,96,14,1,0,8.2,179,16,9,2,1
Runaway Train,111,7.2,29130,207,82,67,7,4,0,6.6,5,2,2,3,0
Running on Empty,116,7.6,15856,116,52,67,10,7,0,8.6,10,0,0,2,0
Sabrina,120,6.95,52191,187,75.5,64,8.5,7.5,0.5,7.6,26,6,0.5,16,2
Salaam Bombay!,113,7.9,9294,71,36,78,3,1,0,7.4,14,1,3,1,0
Salt,100,6.5,310073,626,344,65,29,11,2,6.4,278,170,53,1,0
Saludos Amigos,42,6.1,6599,37,29,60,2,2,0,6.5,4,7,0,3,0
Salvador,122,7.4,21101,109,53,69,12,5,0,7.2,4,1,0,2,0
Sands of Iwo Jima,100,7,10367,87,44,75,7,1,0,0,0,0,0,4,0
Saturday Night Fever,118,6.8,78317,291,108,77,6,0,1,8.2,95,18,5,1,0
Saving Private Ryan,169,8.6,1339893,2800,267,91,37,1,0,8.9,1145,39,39,11,5
Scent of a Woman,156,8,287568,477,60,59,7,5,2,8.5,228,22,12,6,1
Scrooge,113,7.5,10846,208,42,58,4,4,0,0,0,0,0,4,0
Scrooged,101,6.9,98580,257,130,38,3,3,8,8,86,22,5,1,0
Seabiscuit,140,7.3,72103,483,161,72,38,4,1,7.1,43,10,6,7,0
Searching for Sugar Man,86,8.2,67485,220,259,79,28,4,0,8.3,78,5,3,1,1
