title,runtime,imdb_score,imdb_votes,user_review_count,critic_review_count,critic_overall_score,critic_positive_score,critic_mixed_score,critic_negative_score,user_overall_score,user_positive_score,user_mixed_score,user_negative_score,#_of_nominations,#_of_wins
Seconds,106,7.6,19525,167,140,71,12,5,0,0,1,2,0,1,0
Secrets & Lies,136,8,42479,176,65,91,26,1,0,8.2,60,4,5,5,0
Sense and Sensibility,136,7.7,113144,281,59,84,21,0,0,8.3,93,6,2,7,1
Separate Tables,100,7.4,7610,90,28,68,6,1,0,0,0,0,0,7,2
Serpico,130,7.7,120242,227,113,87,7,0,0,8.5,129,14,1,2,0
Seven Brides for Seven Brothers,102,7.3,24654,180,69,75,6,1,0,8.2,8,1,0,5,1
Seven Days in May,118,7.8,15448,124,61,73,6,0,0,0,2,0,0,2,0
Sexy Beast,89,7.3,60205,379,136,79,28,1,1,7.3,58,8,11,1,0
Shadow of a Doubt,108,7.8,64368,289,94,94,15,0,0,8.5,33,3,0,1,0
Shadow of the Vampire,92,6.9,41681,340,204,71,25,5,1,8.5,63,11,2,2,0
Shaft,100,6.6,18665,105,71,66,9,1,0,7.3,6,1,0,2,1
Shakespeare in Love,123,7.1,222702,813,120,87,30,3,0,7.1,129,37,19,13,7
Shampoo,110,6.4,12666,126,63,65,7,4,0,6.8,4,2,0,4,1
Shane,118,7.6,40053,329,86,80,8,3,0,8,9,2,0,6,1
Shanghai Express,82,7.3,8666,73,56,83,15,0,0,0,1,0,0,3,1
Shanghai Triad,108,7.1,5603,40,33,77,20,5,0,0,2,0,0,1,0
Shark Tale,90,6,178946,355,131,48,9,23,4,6.6,136,76,48,1,0
Sherlock Holmes,128,7.6,618109,747,417,57,17,13,4,7.4,569,116,50,2,0
Shine,105,7.7,53823,125,64,87,25,0,0,8.2,53,6,0,7,1
Shirley Valentine,108,7.2,7985,58,21,52,7,6,2,7.2,3,2,0,2,0
Short Cuts,188,7.7,44450,149,66,79,18,3,1,7.4,44,5,9,1,0
Shrek,90,7.9,656858,1.1,173,84,31,3,0,8.8,951,37,22,2,1
Shrek 2,93,7.3,450004,616,191,75,33,7,0,8.7,639,42,18,2,0
Sicko,123,8,75266,431,255,74,36,2,1,7.5,194,12,45,1,0
Sideways,127,7.5,188808,918,183,94,41,1,0,7,360,84,93,5,1
Silkwood,131,7.1,19981,98,44,64,8,1,1,8.4,25,2,1,5,0
Silver Streak,114,6.9,19680,130,52,41,0,6,1,0,3,0,0,1,0
Silverado,133,7.2,43821,206,60,64,10,3,1,7.9,25,5,0,2,0
Singin' in the Rain,103,8.3,235908,764,164,99,17,0,0,8.7,178,14,5,2,0
Six Degrees of Separation,112,6.8,21025,111,38,72,13,5,0,6.8,7,1,2,1,0
Sleepers,147,7.6,215855,349,72,49,9,3,6,8.5,120,12,5,1,0
Sleeping Beauty,75,7.3,145634,215,98,85,11,1,0,8,37,7,0,1,0
Sleepless in Seattle,105,6.8,172513,293,84,72,11,6,0,7,62,26,2,2,0
Sleepy Hollow,105,7.3,351341,1000,244,65,26,8,1,8.8,543,47,8,3,1
Sling Blade,135,8,92810,342,85,84,25,1,0,8.4,84,9,2,2,1
Slumdog Millionaire,120,8,831572,1200,239,84,34,2,0,7.8,642,98,69,10,8
Smokey and the Bandit,96,7,49659,223,87,50,1,4,1,7.4,6,3,0,1,0
Snow Falling on Cedars,127,6.8,14099,200,95,44,8,15,8,6.1,7,2,4,1,0
Snow White and the Huntsman,127,6.1,285427,809,428,57,18,17,4,6.1,252,252,70,2,0
Snow White and the Seven Dwarfs,83,7.6,194641,307,127,95,14,1,0,8.2,114,12,3,1,0
Some Came Running,137,7.3,6484,88,45,68,7,2,0,0,0,0,0,5,0
Some Like It Hot,121,8.2,261234,482,225,98,19,0,0,8.4,147,12,4,6,1
Something's Gotta Give,128,6.7,119953,444,138,66,31,8,1,6.2,29,19,10,1,0
Somewhere in Time,103,7.2,28897,321,48,29,2,2,3,8.1,29,4,2,1,0
Son of the Bride,123,7.8,15534,66,53,68,22,6,1,7.3,10,2,2,1,0
Song of the South,94,7,13689,287,45,54,2,4,0,5.7,5,5,3,2,1
Sophie's Choice,150,7.5,47317,194,42,68,7,1,1,7.8,40,4,4,5,1
Sorcerer,121,7.7,20960,174,109,68,7,6,0,8.3,9,1,0,1,0
Sound and Fury,80,7.9,1013,19,16,85,17,0,0,7,4,1,1,1,0
Sounder,105,7.6,4138,38,25,80,4,2,0,0,2,0,0,4,0
"South Park: Bigger, Longer & Uncut",81,7.7,201845,983,121,73,27,4,0,8.6,362,19,26,1,0
Spartacus,197,7.9,132770,351,129,87,16,1,0,8.4,71,10,2,6,4
Speaking in Strings,73,6.7,217,2,8,56,4,4,2,0,2,0,0,1,0
Speed,116,7.3,354303,524,139,78,15,2,0,8.6,325,29,12,3,2
Spellbound,104,7.55,30059.5,153,96.5,79.5,23,1.5,0,7.5,7.5,1.5,0.5,14,2
Spirit: Stallion of the Cimarron,83,7.2,73964,284,98,52,15,8,6,7.7,95,18,10,1,0
Spirited Away,125,8.6,727150,1500,212,96,41,0,0,8.9,1755,44,105,1,1
Splash,111,6.3,75824,130,49,71,12,1,2,7.5,32,8,6,1,0
Splendor in the Grass,124,7.7,20740,148,57,74,6,4,0,7,4,1,0,2,1
Stagecoach,96,7.8,47964,466,115,93,15,0,0,7.8,13,2,1,7,2
Stalag 17,120,8,55200,172,98,84,13,2,0,7.8,9,1,0,3,1
Stand and Deliver,103,7.3,20074,109,21,77,11,0,0,7.1,8,0,2,1,0
Stand by Me,89,8.1,391442,768,131,75,16,4,0,8.4,94,6,3,1,0
Star Trek,127,8,596988,1700,524,82,43,3,0,7.9,1309,140,156,4,1
Star Trek IV: The Voyage Home,119,7.3,84030,276,101,71,14,2,1,8,76,13,1,4,0
Star Trek: First Contact,111,7.6,123799,348,159,71,13,5,0,8.2,119,14,6,1,0
Star Wars,121,8.6,1315756,2000,207,90,22,1,1,8.8,2288,75,62,10,6
Starman,115,7,46543,182,107,70,8,0,0,8,35,7,2,1,0
Starship Troopers,129,7.3,288025,1200,203,51,7,10,3,8.8,448,27,18,1,0
Starting Over,105,6.4,2788,34,16,64,4,2,0,0,0,0,1,2,0
Steel Magnolias,117,7.3,53445,170,38,56,5,6,2,7.7,13,5,0,1,0
Strangers on a Train,101,7.9,131890,365,126,88,14,1,0,8.7,55,5,0,1,0
Straw Dogs,113,7.4,59472,291,96,73,7,4,0,7.5,8,0,0,1,0
Street Fight,83,7.9,2056,15,32,85,11,0,0,6.9,10,0,3,1,0
Street Smart,97,6.3,3170,31,27,70,9,3,0,0,1,0,2,1,0
Strike Up the Band,120,6.8,1703,30,20,59,4,2,0,0,0,0,0,3,1
Stuart Little,84,6,132532,227,87,61,22,7,3,6.6,58,41,10,1,0
"Suddenly, Last Summer",114,7.5,15369,147,52,54,3,6,0,8,4,0,0,3,0
Sunrise at Campobello,144,6.9,1296,21,19,82,4,0,0,0,0,1,0,4,0
Super Size Me,100,7.2,107410,442,174,73,32,4,1,7.5,90,14,8,1,0
Superman,143,7.4,171390,625,207,81,16,4,0,8,313,46,20,5,1
Superman Returns,154,6.1,280702,2400,350,72,29,11,0,6.9,928,245,317,1,0
Surf's Up,85,6.7,77272,152,155,64,23,2,1,8.1,134,21,11,1,0
Suspicion,99,7.3,37693,219,94,83,4,0,0,7.9,17,4,0,3,1
Sweet Charity,149,6.9,5802,86,28,53,3,3,0,0,1,1,0,3,0
Sweet Dreams,115,7.1,4751,55,12,65,10,3,1,0,1,0,0,1,0
Sweet and Lowdown,95,7.2,34903,149,81,70,27,5,1,8,29,6,0,2,0
Swing Shift,100,5.9,4827,38,19,60,6,6,0,0,1,0,0,1,0
Swing Time,103,7.5,13438,111,67,91,16,0,0,0,1,2,0,2,1
Syriana,128,6.9,129578,649,341,76,36,4,0,7.7,284,50,54,2,1
Tarzan,88,7.3,219792,328,134,79,22,5,0,7.8,194,29,11,1,1
Taxi Driver,114,8.3,791598,1300,294,94,22,1,0,7.6,923,61,165,4,0
Taxi to the Dark Side,106,7.5,15946,60,53,82,25,0,0,7.1,30,6,7,1,1
Ted,106,6.9,599938,700,463,62,21,13,3,7,543,207,71,1,0
Tender Mercies,92,7.4,10502,90,36,76,7,2,0,0,2,0,0,5,2
Tequila Sunrise,115,6,31384,101,37,62,9,4,1,7.9,48,14,6,1,0
Terminator 2: Judgment Day,137,8.6,1063673,1400,303,75,18,3,1,9,1135,32,55,6,4
Tess,186,7.3,16519,94,68,82,12,3,0,8.5,11,1,0,6,3
That Obscure Object of Desire,103,7.9,22464,71,86,84,4,1,0,8.4,23,2,0,2,0
That Thing You Do!,108,7,67947,251,75,71,19,2,1,7.9,50,10,3,1,0
The Absent Minded Professor,92,6.7,8249,47,23,75,5,0,0,6.2,4,1,1,3,0
The Abyss,140,7.5,174369,488,106,62,7,6,1,7.6,93,15,5,4,1
The Accidental Tourist,121,6.7,16069,111,39,53,6,2,4,7.2,10,6,2,4,1
The Accused,111,7.1,35002,121,37,65,8,4,0,8.1,17,2,0,1,1
The Addams Family,99,6.9,150378,194,77,57,8,10,1,7.3,51,11,2,1,0
The Adventures of Baron Munchausen,126,7.1,53052,184,89,69,12,2,1,8.2,39,5,1,4,0
"The Adventures of Priscilla, Queen of the Desert",104,7.5,49620,165,39,70,14,6,0,7.9,26,2,1,1,1
The Adventures of Robin Hood,102,7.9,50458,302,113,97,5,0,0,7.9,55,9,3,4,3
The Adventures of Tintin,107,7.3,227863,527,454,68,28,12,0,7.8,511,93,23,1,0
The Affair of the Necklace,118,6,5322,66,48,42,4,14,4,5.1,2,3,2,1,0
The Age of Innocence,139,7.2,58701,201,75,90,32,3,0,7.9,75,8,7,5,1
The American President,114,6.8,56732,252,69,67,15,6,0,6.3,21,16,8,1,0
The Americanization of Emily,115,7.3,5089,82,27,68,8,1,0,0,1,0,0,2,0
The Amityville Horror,117,6.2,39034,324,130,28,1,3,6,6.8,10,7,1,1,0
The Andromeda Strain,131,7.2,36532,230,91,60,3,6,0,7.8,15,2,0,2,0
The Apartment,125,8.3,177425,394,235,94,20,1,0,8.7,43,1,1,10,5
The Apostle,134,7.2,14096,165,82,83,23,4,1,5.7,20,1,12,1,0
The Artist,100,7.9,239254,713,583,89,40,0,1,8.1,525,51,40,10,5
The Asphalt Jungle,112,7.8,26406,160,88,85,14,1,0,0,0,0,0,4,0
The Aviator,170,7.5,354449,880,265,77,36,5,0,8.6,462,40,13,11,5
The Awful Truth,90,7.7,19366,135,64,87,9,1,0,8,3,1,0,6,1
The Baader Meinhof Complex,150,7.3,37762,123,159,76,19,3,0,7.5,28,3,2,1,0
The Bad Seed,129,7.4,14182,236,86,51,4,6,0,0,0,0,0,4,0
The Band Wagon,112,7.5,11240,121,62,93,17,0,0,0,0,1,0,3,0
The Barbarian Invasions,99,7.5,29138,173,121,70,27,5,2,5.6,9,2,4,2,1
The Battle of Algiers,121,8.1,58783,310,144,96,22,0,0,8,63,8,7,3,0
The Bear,96,7.7,17705,78,26,60,6,6,0,0,2,0,1,1,0
The Best Little Whorehouse in Texas,114,6,12077,61,18,40,2,4,4,6.8,3,1,0,1,0
The Best Years of Our Lives,170,8.1,62749,328,112,93,17,0,0,8.5,33,4,1,8,7
The Big Chill,105,7.2,36747,224,73,61,8,3,1,7.3,24,7,1,3,0
The Big House,87,7.1,2195,33,25,74,6,0,0,0,0,0,0,4,2
The Birdcage,117,7.2,87659,232,59,72,14,4,0,7.8,46,9,1,1,0
The Birds,119,7.7,184567,615,181,90,12,3,0,8.2,79,8,2,1,0
The Bishop's Wife,109,7.6,17630,180,49,72,9,1,0,7.5,4,2,0,5,1
The Black Dahlia,121,5.6,73796,686,168,49,9,21,5,2.8,32,40,132,1,0
The Black Hole,98,5.9,25296,296,114,52,5,5,2,0,1,1,1,2,0
The Black Stallion,118,7.4,12695,113,42,84,8,1,1,8.4,16,3,0,3,1
The Blind Side,129,7.6,321752,571,269,53,16,10,3,7.4,289,67,41,2,1
The Blue Lagoon,104,5.8,68630,194,45,31,1,5,8,6.7,13,9,3,1,0
The Bostonians,122,6.2,2082,14,31,59,6,2,2,0,0,2,0,2,0
The Bourne Ultimatum,115,8,626136,944,328,85,36,2,0,7.6,712,66,121,3,3
The Boys from Brazil,125,7,27636,157,67,40,1,5,1,7,7,3,0,3,0
The Bridge on the River Kwai,161,8.2,216335,368,105,87,13,2,0,8.4,67,5,1,8,7
The Bridges of Madison County,135,7.6,79655,278,77,69,17,6,0,8.6,104,5,5,1,0
The Buddy Holly Story,114,7.2,8952,72,33,78,11,0,0,0,0,1,0,3,1
The Caine Mutiny,124,7.7,27290,199,48,63,6,2,0,7.6,3,2,0,7,0
The Cell,107,6.4,101618,731,222,40,8,12,12,8.7,304,30,25,1,0
The Chalk Garden,106,7.3,2201,26,12,61,2,2,0,0,0,0,0,1,0
The Champ,121,6.8,8520,65,20,38,0,7,1,0,0,0,1,5,2
The Children's Hour,108,7.8,16195,155,42,49,2,5,0,7.6,4,1,0,5,0
The China Syndrome,122,7.4,29731,133,68,81,15,1,0,8,16,2,0,4,0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",143,6.9,388983,1600,260,75,31,7,1,6,446,125,217,3,1
The Cider House Rules,126,7.4,97719,437,119,75,29,3,0,8.6,108,8,6,7,2
The Clan of the Cave Bear,98,5.4,6494,76,21,34,0,7,5,0,0,1,0,1,0
The Client,119,6.7,65282,128,54,65,13,5,0,7.3,13,6,0,1,0
The Color Purple,154,7.7,85015,263,78,78,6,1,0,8.5,91,12,1,11,0
The Color of Money,119,7,81484,163,61,77,15,2,0,7.6,24,7,0,4,1
The Commitments,118,7.6,35128,127,62,73,17,6,0,0,2,1,0,1,0
The Conformist,113,7.9,29795,122,123,100,11,0,0,7.7,69,9,9,1,0
The Constant Gardener,129,7.4,139558,624,224,82,37,2,0,7,189,49,48,4,1
The Contender,126,6.9,23966,387,134,59,21,11,3,6.9,15,9,2,2,0
The Conversation,113,7.8,109307,431,172,87,16,1,0,8.5,117,11,4,3,0
The Cooler,101,6.9,33920,227,75,69,28,8,0,6.8,17,9,2,1,0
The Cotton Club,129,6.5,17848,108,41,68,8,6,0,7.9,6,1,0,2,0
The Cove,92,8.4,49301,152,175,84,26,0,0,8.2,92,6,8,1,1
The Crying Game,112,7.2,54817,190,60,90,21,1,0,7.6,59,12,5,6,1
The Dark Knight,152,9.1,2538291,8000,434,84,33,6,0,8.9,5816,217,372,8,2
The Day of the Jackal,143,7.8,40317,237,67,80,6,2,0,7.3,8,3,1,1,0
The Day of the Locust,144,6.9,5764,86,36,61,7,7,0,0,0,0,0,2,0
The Decline of the American Empire,101,7.2,8247,38,32,60,3,1,1,0,2,1,0,1,0
The Deep,123,6.2,12289,89,42,41,0,6,0,0,1,1,0,1,0
The Deer Hunter,183,8.1,332510,1200,141,86,16,2,0,7.6,183,25,28,9,5
The Defiant Ones,96,7.6,15446,94,59,69,6,2,0,7.5,3,1,0,9,2
The Departed,151,8.5,1280180,2400,293,85,36,3,0,7,1330,119,423,5,4
The Devil Wears Prada,109,6.9,404476,788,198,62,26,14,0,7.5,251,60,20,2,0
The Diary of Anne Frank,180,7.4,12680,67,33,59,5,5,0,5.8,2,1,1,8,3
The Dirty Dozen,150,7.7,71734,206,92,73,9,2,0,7.7,11,2,1,4,1
The Discreet Charm of the Bourgeoisie,102,7.8,42252,94,95,93,12,0,0,8,57,4,8,2,1
The Diving Bell and the Butterfly,112,8,106969,205,267,92,34,2,0,8.3,202,18,13,4,0
The Electric Horseman,121,6.4,9396,45,31,64,5,3,1,0,2,1,0,1,0
The Elephant Man,124,8.2,236118,465,159,78,11,5,0,8.5,58,4,1,8,0
The End of the Affair,102,7,22720,180,51,65,21,10,1,7.8,15,4,1,2,0
The English Patient,162,7.4,187727,545,126,87,28,3,0,7.2,130,26,21,12,9
The Entertainer,96,7.1,3349,44,18,70,6,3,1,0,0,0,0,1,0
The Europeans,90,6.2,986,8,13,64,3,1,0,0,1,0,0,1,0
The Exorcist,122,8.1,389688,1300,230,81,16,5,0,8.7,435,33,17,10,2
The Fabulous Baker Boys,114,6.9,23605,93,35,85,22,3,0,8,6,1,0,4,0
The Fallen Idol,95,7.7,8642,79,66,88,11,1,0,6.8,6,2,2,2,0
The Fifth Element,126,7.7,461700,931,183,52,10,9,3,8.7,522,34,25,1,0
The Firm,154,6.8,131378,223,65,58,7,6,3,8.7,149,19,5,2,0
The Fisher King,137,7.5,84294,222,95,61,6,2,1,8.4,95,10,4,5,1
The Fly,96,7.6,175441,414,193,79,8,2,1,8.3,161,17,6,2,2
The Fog of War,107,8.1,24203,166,132,87,33,3,0,7.5,35,2,7,1,1
The French Connection,104,7.7,120170,374,174,94,17,1,0,8.4,163,23,4,8,5
The French Lieutenant's Woman,124,6.9,13569,80,42,64,5,5,0,6.4,5,3,0,5,0
The Front Page,101,6.7,2880,46,37,76,7,1,0,0,0,0,0,3,0
The Fugitive,130,7.8,287441,384,115,87,31,1,0,8.7,283,14,7,7,1
The Gatekeepers,101,7.6,5634,35,105,91,26,1,0,6.8,19,7,6,1,0
The Gay Divorcee,107,7.4,7783,73,45,80,11,1,0,0,1,1,0,5,1
The Girl with the Dragon Tattoo,158,7.8,453809,816,526,71,31,9,1,8,708,70,40,5,1
The Godfather,175,9.2,1771185,4900,273,100,16,0,0,9.2,3488,98,116,11,3
The Golden Compass,113,6.1,186199,726,243,51,10,20,3,6.1,198,87,104,2,1
The Good German,105,6,25037,187,186,49,10,19,5,7,42,10,12,1,0
The Goodbye Girl,111,7.4,13839,97,42,64,7,4,0,7.1,6,1,0,5,1
The Graduate,106,8,268502,817,190,83,15,4,0,7.4,162,15,29,7,1
The Grandfather,151,7.4,1897,21,11,57,8,6,1,0,1,1,0,1,0
The Grapes of Wrath,129,8.1,91223,379,102,96,15,1,0,8.7,58,3,1,7,2
The Great Escape,172,8.2,239902,413,119,86,15,1,0,8.4,40,7,1,1,0
The Great Gatsby,144,6.4,24877,159,46,43,2,1,2,6,11,9,5,4,4
The Great Muppet Caper,97,7.1,15266,60,34,70,9,3,0,8,8,2,0,1,0
The Great Race,160,7.2,17622,180,40,71,5,0,0,7,3,1,1,5,1
The Great Santini,115,7.2,6277,46,28,64,7,2,1,0,0,0,1,2,0
The Great White Hope,103,6.9,2540,34,20,53,3,4,0,0,0,0,0,2,0
The Green Mile,189,8.6,1250749,2000,210,61,19,15,2,8.2,564,29,56,4,0
The Grifters,110,6.9,27644,110,66,86,15,3,0,8.8,55,6,2,4,0
The Gunfighter,85,7.7,10924,96,61,94,8,0,0,7.4,8,1,0,1,0
The Guns of Navarone,158,7.5,49944,185,48,72,6,2,0,0,1,1,0,7,1
The Harvey Girls,102,7,4121,65,23,65,5,4,0,0,0,0,0,2,1
The Heartbreak Kid,106,7,4768,54,41,74,10,2,0,0,1,0,0,2,0
The Help,146,8.1,447983,637,295,62,24,15,2,7.8,415,50,29,4,1
The Horse Whisperer,169,6.7,40979,292,75,65,9,9,1,6.3,15,8,4,1,0
The Hospital,103,7.1,6423,81,38,72,4,3,0,0,2,0,0,2,1
The Hot Rock,101,6.8,6223,83,39,65,5,3,0,0,0,0,0,1,0
The Hours,110,7.5,130319,696,159,80,35,4,1,8.6,181,21,9,9,1
The House of the Seven Gables,89,7,1152,22,23,54,2,2,0,0,0,0,0,1,0
The Hunchback of Notre Dame,91,7,153369,323,87,74,23,5,0,7.9,50,3,2,3,0
The Hunt,115,8.3,317582,523,382,77,27,3,0,8.4,243,14,8,1,0
The Hunt for Red October,135,7.6,194646,338,116,58,9,6,2,7.5,103,14,14,3,1
The Hurt Locker,131,7.6,443441,1000,407,95,36,1,0,7.3,1134,167,238,9,6
The Hustler,134,8,80846,231,111,90,17,1,0,8.2,16,2,0,9,2
The Ides of March,101,7.1,221257,326,429,67,31,12,0,7.1,227,67,13,1,0
The Illusionist,95,7.55,201538,421.5,214,75,29,5,0,8.1,280,30,10.5,4,0
The Imaginarium of Doctor Parnassus,123,6.8,148412,265,283,65,22,7,1,7.1,144,63,16,2,0
The Incredibles,115,8.1,705027,1000,239,90,40,1,0,8.8,1172,63,34,4,2
The Informer,91,7.4,6407,62,40,65,5,2,1,0,0,0,0,6,4
The Insider,157,7.8,168882,565,207,84,33,1,0,8.6,154,7,3,7,0
The Invisible War,93,7.6,6891,29,68,75,18,1,0,8,21,1,1,1,0
The Iron Lady,105,6.4,108214,441,334,52,16,21,4,6.2,94,96,29,2,2
The Jazz Singer,88,6.4,9888,113,66,66,5,2,0,7,3,1,0,2,0
The Journey of Natty Gann,101,7,6067,54,13,66,7,3,0,0,1,0,0,1,0
The Jungle Book,78,7.6,177918,187,119,65,7,1,0,8.1,48,8,0,2,1
The Karate Kid Part II,113,6.1,87811,173,54,55,3,5,1,6.9,15,12,3,1,0
The Kids Are All Right,106,7.1,129684,321,241,86,35,4,0,7.2,237,52,32,4,0
The Killing Fields,141,7.8,54936,225,73,76,15,2,1,7.3,5,0,1,7,3
The King and I,133,7.4,25810,112,39,72,4,2,0,8.1,6,0,1,9,5
The King's Speech,118,8,669225,797,475,88,39,2,0,8.3,792,65,17,12,4
The Kite Runner,128,7.6,79795,258,207,61,21,13,0,7.8,73,15,3,1,0
The Lady Eve,94,7.8,21140,152,107,96,17,0,0,7.5,6,0,0,1,0
The Ladykillers,91,7.6,28964,163,80,91,7,0,0,7.7,10,0,0,1,0
The Last Days,87,7.9,4205,37,40,85,23,2,0,0,2,0,0,1,1
The Last Detail,104,7.5,24368,134,65,89,11,0,0,7.6,15,3,0,3,0
The Last Emperor,163,7.7,101318,196,85,76,14,1,0,8.1,63,7,2,9,9
The Last King of Scotland,123,7.7,184086,388,237,74,33,3,0,8,150,25,4,1,1
The Last Samurai,154,7.8,427673,1000,172,55,19,20,4,8,314,41,26,4,0
The Last Station,112,7,18523,88,180,76,30,4,0,7.6,40,4,4,2,0
The Last Temptation of Christ,164,7.5,56361,345,125,80,17,1,0,7.6,70,13,8,1,0
The Last Tycoon,123,6.3,8732,68,27,57,3,8,0,0,0,0,0,1,0
The Last of the Mohicans,112,7.7,165089,501,88,76,17,1,0,8.1,111,13,6,2,1
The Lion King,88,8.5,1018781,1.1,227,88,28,2,0,8.8,798,28,36,5,2
The Little Mermaid,83,7.6,254646,316,112,88,21,3,0,7.7,92,11,5,3,2
The Lives of Others,137,8.4,381981,556,219,89,38,1,0,8.8,352,13,10,1,1
The Living Desert,69,7.4,1501,21,8,69,4,0,0,0,0,0,0,1,1
The Longest Day,178,7.7,55059,252,59,75,4,3,0,7.7,10,1,0,5,2
